Our Results,GPS Results
4.15, 5
4.15, 5
3.12, 4
3.12, 4
2.49, 3
2.49, 3
4.32, 5
4.32, 5
3.37, 4
3.37, 4
4.32, 4
6.33, 6
0.55, 1
0.55, 2
3.19, 3
3.19, 3
3.37, 5
3.37, 3
3.37, 5
3.37, 3
4.15, 6
4.15, 5
3.12, 4
3.12, 5
2.49, 3
2.49, 4
4.32, 5
4.32, 6
3.37, 3
3.37, 5
6.33, 5
6.33, 5
0.55, 1
0.55, 1
3.19, 3
3.19, 3
3.37, 4
3.37, 3
3.37, 3
3.37, 3
4.15, 5
4.15, 5
3.12, 5
3.12, 5
2.49, 3
2.49, 4
4.32, 5
4.32, 6
3.37, 4
3.37, 5
6.33, 5
6.33, 6
0.55, 1
0.55, 2
3.19, 3
3.19, 2
3.37, 3
3.37, 3
18.66, 18
11.82, 12
13.46, 15.52
3.68, 4
4.69, 4
2.70, 3
4.3568, 4
3.38, 3
4.59, 5
7.27, 7
10.00, 10
3.37, 2
3.37, 2
16.96, 16
1.34, 1
4.35, 4
8.62, 9
9.11, 9
9.76, 10
8.50, 8
16.82, 16
8.47, 10
16.29, 15
19.41, 17
13.98, 13
